fetched_at,home_team,away_team,book,market,outcome,player,point,price
2026-07-15T22:03:11+00:00,France,England,unibet_se,totals,Over,,2.5,1.65
2026-07-15T22:03:11+00:00,France,England,unibet_se,totals,Under,,2.5,2.28
2026-07-15T22:03:11+00:00,France,England,livescorebet,btts,Yes,,,1.52
2026-07-15T22:03:11+00:00,France,England,livescorebet,btts,No,,,2.38
2026-07-15T22:03:11+00:00,France,England,pmu_fr,totals,Over,,2.5,1.57
2026-07-15T22:03:11+00:00,France,England,pmu_fr,totals,Under,,2.5,2.18
2026-07-15T22:03:11+00:00,France,England,grosvenor,totals,Over,,2.5,1.62
2026-07-15T22:03:11+00:00,France,England,grosvenor,totals,Under,,2.5,2.23
2026-07-15T22:03:11+00:00,France,England,betrivers,totals,Over,,2.5,1.62
2026-07-15T22:03:11+00:00,France,England,betrivers,totals,Under,,2.5,2.23
2026-07-15T22:03:11+00:00,France,England,betrivers,btts,Yes,,,1.51
2026-07-15T22:03:11+00:00,France,England,betrivers,btts,No,,,2.38
2026-07-15T22:03:11+00:00,France,England,betrivers,player_goal_scorer_anytime,Yes,Anthony Gordon,,5.2
2026-07-15T22:03:11+00:00,France,England,betrivers,player_goal_scorer_anytime,Yes,Desire Doue,,4.1
2026-07-15T22:03:11+00:00,France,England,betrivers,player_goal_scorer_anytime,Yes,Declan Rice,,9.5
2026-07-15T22:03:11+00:00,France,England,betrivers,player_goal_scorer_anytime,Yes,Jules Kounde,,10.0
2026-07-15T22:03:11+00:00,France,England,betrivers,player_goal_scorer_anytime,Yes,Reece James,,11.0
2026-07-15T22:03:11+00:00,France,England,betrivers,player_goal_scorer_anytime,Yes,Jude Bellingham,,4.0
2026-07-15T22:03:11+00:00,France,England,betrivers,player_goal_scorer_anytime,Yes,Noni Madueke,,5.5
2026-07-15T22:03:11+00:00,France,England,betrivers,player_goal_scorer_anytime,Yes,Jarell Quansah,,11.5
2026-07-15T22:03:11+00:00,France,England,betrivers,player_goal_scorer_anytime,Yes,Aurelien Tchouameni,,10.0
2026-07-15T22:03:11+00:00,France,England,betrivers,player_goal_scorer_anytime,Yes,Ollie Watkins,,3.7
2026-07-15T22:03:11+00:00,France,England,betrivers,player_goal_scorer_anytime,Yes,Kylian Mbappe,,1.94
2026-07-15T22:03:11+00:00,France,England,betrivers,player_goal_scorer_anytime,Yes,Elliot Anderson,,10.5
2026-07-15T22:03:11+00:00,France,England,betrivers,player_goal_scorer_anytime,Yes,Morgan Rogers,,5.8
2026-07-15T22:03:11+00:00,France,England,betrivers,player_goal_scorer_anytime,Yes,Ousmane Dembele,,3.1
2026-07-15T22:03:11+00:00,France,England,betrivers,player_goal_scorer_anytime,Yes,Marc Guehi,,12.5
2026-07-15T22:03:11+00:00,France,England,betrivers,player_goal_scorer_anytime,Yes,Bradley Barcola,,4.0
2026-07-15T22:03:11+00:00,France,England,betrivers,player_goal_scorer_anytime,Yes,Dan Burn,,12.0
2026-07-15T22:03:11+00:00,France,England,betrivers,player_goal_scorer_anytime,Yes,Jordan Henderson,,12.0
2026-07-15T22:03:11+00:00,France,England,betrivers,player_goal_scorer_anytime,Yes,Dayot Upamecano,,10.5
2026-07-15T22:03:11+00:00,France,England,betrivers,player_goal_scorer_anytime,Yes,Bukayo Saka,,5.5
2026-07-15T22:03:11+00:00,France,England,betrivers,player_goal_scorer_anytime,Yes,Maxence Lacroix,,10.0
2026-07-15T22:03:11+00:00,France,England,betrivers,player_goal_scorer_anytime,Yes,William Saliba,,9.5
2026-07-15T22:03:11+00:00,France,England,betrivers,player_goal_scorer_anytime,Yes,Lucas Digne,,10.0
2026-07-15T22:03:11+00:00,France,England,betrivers,player_goal_scorer_anytime,Yes,Ezri Konsa,,12.0
2026-07-15T22:03:11+00:00,France,England,betrivers,player_goal_scorer_anytime,Yes,Adrien Rabiot,,6.75
2026-07-15T22:03:11+00:00,France,England,betrivers,player_goal_scorer_anytime,Yes,Michael Olise,,3.9
2026-07-15T22:03:11+00:00,France,England,betrivers,player_goal_scorer_anytime,Yes,Trevoh Chalobah,,13.0
2026-07-15T22:03:11+00:00,France,England,betrivers,player_goal_scorer_anytime,Yes,Marcus Rashford,,4.8
2026-07-15T22:03:11+00:00,France,England,betrivers,player_goal_scorer_anytime,Yes,Djed Spence,,13.0
2026-07-15T22:03:11+00:00,France,England,betrivers,player_goal_scorer_anytime,Yes,John Stones,,12.0
2026-07-15T22:03:11+00:00,France,England,betrivers,player_goal_scorer_anytime,Yes,Nico O'Reilly,,9.5
2026-07-15T22:03:11+00:00,France,England,betrivers,player_goal_scorer_anytime,Yes,Theo Hernandez,,10.0
2026-07-15T22:03:11+00:00,France,England,betrivers,player_goal_scorer_anytime,Yes,Harry Kane,,2.45
2026-07-15T22:03:11+00:00,France,England,virginbet,btts,Yes,,,1.52
2026-07-15T22:03:11+00:00,France,England,virginbet,btts,No,,,2.38
2026-07-15T22:03:11+00:00,France,England,casumo,totals,Over,,2.5,1.62
2026-07-15T22:03:11+00:00,France,England,casumo,totals,Under,,2.5,2.23
2026-07-15T22:03:11+00:00,France,England,unibet_nl,totals,Over,,2.5,1.62
2026-07-15T22:03:11+00:00,France,England,unibet_nl,totals,Under,,2.5,2.23
2026-07-15T22:03:11+00:00,France,England,leovegas,totals,Over,,3.5,2.35
2026-07-15T22:03:11+00:00,France,England,leovegas,totals,Under,,3.5,1.55
2026-07-15T22:03:11+00:00,France,England,leovegas,btts,Yes,,,1.5
2026-07-15T22:03:11+00:00,France,England,leovegas,btts,No,,,2.5
2026-07-15T22:03:11+00:00,France,England,mybookieag,totals,Over,,3.0,1.93
2026-07-15T22:03:11+00:00,France,England,mybookieag,totals,Under,,3.0,1.78
2026-07-15T22:03:11+00:00,France,England,betfred_uk,btts,Yes,,,1.5
2026-07-15T22:03:11+00:00,France,England,betfred_uk,btts,No,,,2.5
2026-07-15T22:03:11+00:00,France,England,williamhill,totals,Over,,2.5,1.8
2026-07-15T22:03:11+00:00,France,England,williamhill,totals,Under,,2.5,1.95
2026-07-15T22:03:11+00:00,France,England,williamhill,btts,Yes,,,1.67
2026-07-15T22:03:11+00:00,France,England,williamhill,btts,No,,,2.1
2026-07-15T22:03:11+00:00,France,England,williamhill,player_goal_scorer_anytime,Yes,Kylian Mbappe,,1.8
2026-07-15T22:03:11+00:00,France,England,williamhill,player_goal_scorer_anytime,Yes,Harry Kane,,2.38
2026-07-15T22:03:11+00:00,France,England,williamhill,player_goal_scorer_anytime,Yes,Ollie Watkins,,2.7
2026-07-15T22:03:11+00:00,France,England,williamhill,player_goal_scorer_anytime,Yes,Ivan Toney,,2.75
2026-07-15T22:03:11+00:00,France,England,williamhill,player_goal_scorer_anytime,Yes,Jean-Philippe Mateta,,3.1
2026-07-15T22:03:11+00:00,France,England,williamhill,player_goal_scorer_anytime,Yes,Ousmane Dembele,,3.0
2026-07-15T22:03:11+00:00,France,England,williamhill,player_goal_scorer_anytime,Yes,Marcus Thuram,,3.1
2026-07-15T22:03:11+00:00,France,England,williamhill,player_goal_scorer_anytime,Yes,Desire Doue,,3.9
2026-07-15T22:03:11+00:00,France,England,williamhill,player_goal_scorer_anytime,Yes,Bradley Barcola,,3.9
2026-07-15T22:03:11+00:00,France,England,williamhill,player_goal_scorer_anytime,Yes,Jude Bellingham,,3.9
2026-07-15T22:03:11+00:00,France,England,williamhill,player_goal_scorer_anytime,Yes,Michael Olise,,4.0
2026-07-15T22:03:11+00:00,France,England,williamhill,player_goal_scorer_anytime,Yes,Rayan Cherki,,4.0
2026-07-15T22:03:11+00:00,France,England,williamhill,player_goal_scorer_anytime,Yes,Maghnes Akliouche,,4.8
2026-07-15T22:03:11+00:00,France,England,williamhill,player_goal_scorer_anytime,Yes,Marcus Rashford,,4.8
2026-07-15T22:03:11+00:00,France,England,williamhill,player_goal_scorer_anytime,Yes,Anthony Gordon,,4.8
2026-07-15T22:03:11+00:00,France,England,williamhill,player_goal_scorer_anytime,Yes,Morgan Rogers,,5.0
2026-07-15T22:03:11+00:00,France,England,williamhill,player_goal_scorer_anytime,Yes,Eberechi Eze,,5.0
2026-07-15T22:03:11+00:00,France,England,williamhill,player_goal_scorer_anytime,Yes,Noni Madueke,,5.0
2026-07-15T22:03:11+00:00,France,England,williamhill,player_goal_scorer_anytime,Yes,Bukayo Saka,,5.0
2026-07-15T22:03:11+00:00,France,England,williamhill,player_goal_scorer_anytime,Yes,Adrien Rabiot,,8.0
2026-07-15T22:03:11+00:00,France,England,williamhill,player_goal_scorer_anytime,Yes,N'Golo Kante,,8.5
2026-07-15T22:03:11+00:00,France,England,williamhill,player_goal_scorer_anytime,Yes,Warren Zaire-Emery,,8.5
2026-07-15T22:03:11+00:00,France,England,williamhill,player_goal_scorer_anytime,Yes,Manu Kone,,10.0
2026-07-15T22:03:11+00:00,France,England,williamhill,player_goal_scorer_anytime,Yes,Theo Hernandez,,10.0
2026-07-15T22:03:11+00:00,France,England,williamhill,player_goal_scorer_anytime,Yes,Declan Rice,,10.0
2026-07-15T22:03:11+00:00,France,England,williamhill,player_goal_scorer_anytime,Yes,Kobbie Mainoo,,11.0
2026-07-15T22:03:11+00:00,France,England,williamhill,player_goal_scorer_anytime,Yes,Aurelien Tchouameni,,10.0
2026-07-15T22:03:11+00:00,France,England,williamhill,player_goal_scorer_anytime,Yes,Elliot Anderson,,11.0
2026-07-15T22:03:11+00:00,France,England,williamhill,player_goal_scorer_anytime,Yes,Nico O'Reilly,,11.0
2026-07-15T22:03:11+00:00,France,England,williamhill,player_goal_scorer_anytime,Yes,Reece James,,13.0
2026-07-15T22:03:11+00:00,France,England,williamhill,player_goal_scorer_anytime,Yes,Trevoh Chalobah,,15.0
2026-07-15T22:03:11+00:00,France,England,williamhill,player_goal_scorer_anytime,Yes,Dayot Upamecano,,13.0
2026-07-15T22:03:11+00:00,France,England,williamhill,player_goal_scorer_anytime,Yes,Dan Burn,,15.0
2026-07-15T22:03:11+00:00,France,England,williamhill,player_goal_scorer_anytime,Yes,Malo Gusto,,15.0
2026-07-15T22:03:11+00:00,France,England,williamhill,player_goal_scorer_anytime,Yes,Lucas Digne,,15.0
2026-07-15T22:03:11+00:00,France,England,williamhill,player_goal_scorer_anytime,Yes,Jules Kounde,,15.0
2026-07-15T22:03:11+00:00,France,England,williamhill,player_goal_scorer_anytime,Yes,Maxence Lacroix,,15.0
2026-07-15T22:03:11+00:00,France,England,williamhill,player_goal_scorer_anytime,Yes,Lucas Hernandez,,15.0
2026-07-15T22:03:11+00:00,France,England,williamhill,player_goal_scorer_anytime,Yes,Jarell Quansah,,19.0
2026-07-15T22:03:11+00:00,France,England,williamhill,player_goal_scorer_anytime,Yes,Marc Guehi,,19.0
2026-07-15T22:03:11+00:00,France,England,williamhill,player_goal_scorer_anytime,Yes,Ibrahim Konate,,19.0
