fetched_at,commence,home_team,away_team,book,home_odds,draw_odds,away_odds
2026-07-15T07:32:15+00:00,2026-07-15T19:00:00Z,England,Argentina,pinnacle,2.78,2.9,3.09
2026-07-15T07:32:15+00:00,2026-07-15T19:00:00Z,England,Argentina,livescorebet,2.65,2.8,2.95
2026-07-15T07:32:15+00:00,2026-07-15T19:00:00Z,England,Argentina,pmu_fr,2.65,2.95,2.95
2026-07-15T07:32:15+00:00,2026-07-15T19:00:00Z,England,Argentina,leovegas_se,2.7,2.88,3.0
2026-07-15T07:32:15+00:00,2026-07-15T19:00:00Z,England,Argentina,casumo,2.7,2.88,3.0
2026-07-15T07:32:15+00:00,2026-07-15T19:00:00Z,England,Argentina,betrivers,2.7,2.88,3.0
2026-07-15T07:32:15+00:00,2026-07-15T19:00:00Z,England,Argentina,unibet_se,2.75,2.95,3.1
2026-07-15T07:32:15+00:00,2026-07-15T19:00:00Z,England,Argentina,grosvenor,2.63,2.88,3.0
2026-07-15T07:32:15+00:00,2026-07-15T19:00:00Z,England,Argentina,virginbet,2.65,2.8,2.95
2026-07-15T07:32:15+00:00,2026-07-15T19:00:00Z,England,Argentina,unibet_nl,2.75,2.95,3.1
2026-07-15T07:32:15+00:00,2026-07-15T19:00:00Z,England,Argentina,marathonbet,2.74,2.85,3.0
2026-07-15T07:32:15+00:00,2026-07-15T19:00:00Z,England,Argentina,draftkings,2.75,2.85,3.0
2026-07-15T07:32:15+00:00,2026-07-15T19:00:00Z,England,Argentina,unibet_fr,2.7,3.0,3.0
2026-07-15T07:32:15+00:00,2026-07-15T19:00:00Z,England,Argentina,leovegas,2.7,2.85,2.95
2026-07-15T07:32:15+00:00,2026-07-15T19:00:00Z,England,Argentina,sport888,2.62,2.9,2.9
2026-07-15T07:32:15+00:00,2026-07-15T19:00:00Z,England,Argentina,betclic_fr,2.7,3.0,3.0
2026-07-15T07:32:15+00:00,2026-07-15T19:00:00Z,England,Argentina,smarkets,2.84,2.98,3.15
2026-07-15T07:32:15+00:00,2026-07-15T19:00:00Z,England,Argentina,tipico_de,2.75,2.95,2.9
2026-07-15T07:32:15+00:00,2026-07-15T19:00:00Z,England,Argentina,coral,2.6,2.9,3.0
2026-07-15T07:32:15+00:00,2026-07-15T19:00:00Z,England,Argentina,ladbrokes_uk,2.6,2.87,3.0
2026-07-15T07:32:15+00:00,2026-07-15T19:00:00Z,England,Argentina,betmgm,2.6,2.88,3.0
2026-07-15T07:32:15+00:00,2026-07-15T19:00:00Z,England,Argentina,unibet_uk,2.8,2.9,3.0
2026-07-15T07:32:15+00:00,2026-07-15T19:00:00Z,England,Argentina,winamax_fr,2.7,2.9,3.0
2026-07-15T07:32:15+00:00,2026-07-15T19:00:00Z,England,Argentina,winamax_de,2.7,2.9,3.0
2026-07-15T07:32:15+00:00,2026-07-15T19:00:00Z,England,Argentina,bovada,2.7,2.85,3.0
2026-07-15T07:32:15+00:00,2026-07-15T19:00:00Z,England,Argentina,mybookieag,2.61,2.89,3.02
2026-07-15T07:32:15+00:00,2026-07-15T19:00:00Z,England,Argentina,williamhill,2.62,2.9,2.9
2026-07-15T07:32:15+00:00,2026-07-15T19:00:00Z,England,Argentina,gtbets,2.77,3.04,3.01
2026-07-15T07:32:15+00:00,2026-07-15T19:00:00Z,England,Argentina,betfred_uk,2.62,3.0,2.88
2026-07-15T07:32:15+00:00,2026-07-15T19:00:00Z,England,Argentina,betway,2.7,2.8,3.0
2026-07-15T07:32:15+00:00,2026-07-15T19:00:00Z,England,Argentina,paddypower,2.7,2.8,3.0
2026-07-15T07:32:15+00:00,2026-07-15T19:00:00Z,England,Argentina,skybet,2.63,2.88,2.9
2026-07-15T07:32:15+00:00,2026-07-15T19:00:00Z,England,Argentina,fanduel,2.7,2.85,3.0
2026-07-15T07:32:15+00:00,2026-07-15T19:00:00Z,England,Argentina,betonlineag,2.79,2.88,3.08
2026-07-15T07:32:15+00:00,2026-07-15T19:00:00Z,England,Argentina,lowvig,2.79,2.88,3.08
2026-07-15T07:32:15+00:00,2026-07-15T19:00:00Z,England,Argentina,betfair_ex_eu,2.84,2.98,3.15
2026-07-15T07:32:15+00:00,2026-07-15T19:00:00Z,England,Argentina,matchbook,2.84,2.98,3.15
2026-07-15T07:32:15+00:00,2026-07-15T19:00:00Z,England,Argentina,betfair_ex_uk,2.84,2.98,3.15
2026-07-15T07:32:15+00:00,2026-07-15T19:00:00Z,England,Argentina,betfair_sb_uk,2.7,2.88,3.0
2026-07-15T07:32:15+00:00,2026-07-15T19:00:00Z,England,Argentina,onexbet,2.83,2.94,3.1
2026-07-15T07:32:15+00:00,2026-07-15T19:00:00Z,England,Argentina,betvictor,2.7,2.8,3.0
2026-07-15T07:32:15+00:00,2026-07-15T19:00:00Z,England,Argentina,nordicbet,2.78,2.92,3.05
2026-07-15T07:32:15+00:00,2026-07-15T19:00:00Z,England,Argentina,betsson,2.78,2.92,3.05
2026-07-15T07:32:15+00:00,2026-07-15T19:00:00Z,England,Argentina,boylesports,2.62,2.88,2.9
2026-07-15T07:32:15+00:00,2026-07-15T19:00:00Z,England,Argentina,everygame,2.75,2.85,3.0
2026-07-15T07:32:15+00:00,2026-07-15T19:00:00Z,England,Argentina,coolbet,2.78,2.95,3.08
2026-07-15T07:32:15+00:00,2026-07-15T19:00:00Z,England,Argentina,codere_it,2.7,2.85,3.0
2026-07-15T07:32:15+00:00,2026-07-15T19:00:00Z,England,Argentina,betano_uk,2.7,2.8,3.0
2026-07-15T07:32:15+00:00,2026-07-15T19:00:00Z,England,Argentina,betanysports,2.7,2.85,3.0
2026-07-15T07:32:15+00:00,2026-07-15T19:00:00Z,England,Argentina,betus,2.75,2.85,3.05
2026-07-15T07:51:23+00:00,2026-07-15T19:00:00Z,England,Argentina,pinnacle,2.78,2.91,3.09
2026-07-15T07:51:23+00:00,2026-07-15T19:00:00Z,England,Argentina,livescorebet,2.65,2.8,2.95
2026-07-15T07:51:23+00:00,2026-07-15T19:00:00Z,England,Argentina,pmu_fr,2.65,2.95,2.95
2026-07-15T07:51:23+00:00,2026-07-15T19:00:00Z,England,Argentina,leovegas_se,2.7,2.88,3.0
2026-07-15T07:51:23+00:00,2026-07-15T19:00:00Z,England,Argentina,casumo,2.7,2.88,3.0
2026-07-15T07:51:23+00:00,2026-07-15T19:00:00Z,England,Argentina,betrivers,2.7,2.88,3.0
2026-07-15T07:51:23+00:00,2026-07-15T19:00:00Z,England,Argentina,unibet_se,2.75,2.95,3.1
2026-07-15T07:51:23+00:00,2026-07-15T19:00:00Z,England,Argentina,grosvenor,2.63,2.88,3.0
2026-07-15T07:51:23+00:00,2026-07-15T19:00:00Z,England,Argentina,virginbet,2.65,2.8,2.95
2026-07-15T07:51:23+00:00,2026-07-15T19:00:00Z,England,Argentina,unibet_nl,2.75,2.95,3.1
2026-07-15T07:51:23+00:00,2026-07-15T19:00:00Z,England,Argentina,marathonbet,2.73,2.86,3.0
2026-07-15T07:51:23+00:00,2026-07-15T19:00:00Z,England,Argentina,draftkings,2.75,2.85,3.0
2026-07-15T07:51:23+00:00,2026-07-15T19:00:00Z,England,Argentina,unibet_fr,2.7,3.0,3.0
2026-07-15T07:51:23+00:00,2026-07-15T19:00:00Z,England,Argentina,leovegas,2.7,2.85,2.95
2026-07-15T07:51:23+00:00,2026-07-15T19:00:00Z,England,Argentina,sport888,2.62,2.9,2.9
2026-07-15T07:51:23+00:00,2026-07-15T19:00:00Z,England,Argentina,betclic_fr,2.7,3.0,3.0
2026-07-15T07:51:23+00:00,2026-07-15T19:00:00Z,England,Argentina,smarkets,2.84,2.98,3.15
2026-07-15T07:51:23+00:00,2026-07-15T19:00:00Z,England,Argentina,tipico_de,2.75,2.95,2.9
2026-07-15T07:51:23+00:00,2026-07-15T19:00:00Z,England,Argentina,coral,2.6,2.9,3.0
2026-07-15T07:51:23+00:00,2026-07-15T19:00:00Z,England,Argentina,ladbrokes_uk,2.6,2.87,3.0
2026-07-15T07:51:23+00:00,2026-07-15T19:00:00Z,England,Argentina,betmgm,2.6,2.88,3.0
2026-07-15T07:51:23+00:00,2026-07-15T19:00:00Z,England,Argentina,unibet_uk,2.8,2.9,3.0
2026-07-15T07:51:23+00:00,2026-07-15T19:00:00Z,England,Argentina,winamax_fr,2.7,2.9,3.0
2026-07-15T07:51:23+00:00,2026-07-15T19:00:00Z,England,Argentina,winamax_de,2.7,2.9,3.0
2026-07-15T07:51:23+00:00,2026-07-15T19:00:00Z,England,Argentina,bovada,2.7,2.85,3.0
2026-07-15T07:51:23+00:00,2026-07-15T19:00:00Z,England,Argentina,mybookieag,2.61,2.89,3.02
2026-07-15T07:51:23+00:00,2026-07-15T19:00:00Z,England,Argentina,williamhill,2.62,2.9,2.9
2026-07-15T07:51:23+00:00,2026-07-15T19:00:00Z,England,Argentina,gtbets,2.77,3.04,3.01
2026-07-15T07:51:23+00:00,2026-07-15T19:00:00Z,England,Argentina,betfred_uk,2.62,3.0,2.88
2026-07-15T07:51:23+00:00,2026-07-15T19:00:00Z,England,Argentina,betway,2.7,2.8,3.0
2026-07-15T07:51:23+00:00,2026-07-15T19:00:00Z,England,Argentina,paddypower,2.7,2.8,3.0
2026-07-15T07:51:23+00:00,2026-07-15T19:00:00Z,England,Argentina,skybet,2.63,2.88,2.9
2026-07-15T07:51:23+00:00,2026-07-15T19:00:00Z,England,Argentina,fanduel,2.7,2.85,3.0
2026-07-15T07:51:23+00:00,2026-07-15T19:00:00Z,England,Argentina,betonlineag,2.79,2.88,3.08
2026-07-15T07:51:23+00:00,2026-07-15T19:00:00Z,England,Argentina,lowvig,2.79,2.88,3.08
2026-07-15T07:51:23+00:00,2026-07-15T19:00:00Z,England,Argentina,betfair_ex_eu,2.84,2.98,3.15
2026-07-15T07:51:23+00:00,2026-07-15T19:00:00Z,England,Argentina,matchbook,2.84,2.98,3.15
2026-07-15T07:51:23+00:00,2026-07-15T19:00:00Z,England,Argentina,betfair_ex_uk,2.84,2.98,3.15
2026-07-15T07:51:23+00:00,2026-07-15T19:00:00Z,England,Argentina,betfair_sb_uk,2.7,2.88,3.0
2026-07-15T07:51:23+00:00,2026-07-15T19:00:00Z,England,Argentina,onexbet,2.82,2.96,3.1
2026-07-15T07:51:23+00:00,2026-07-15T19:00:00Z,England,Argentina,betvictor,2.7,2.8,3.0
2026-07-15T07:51:23+00:00,2026-07-15T19:00:00Z,England,Argentina,nordicbet,2.78,2.95,3.05
2026-07-15T07:51:23+00:00,2026-07-15T19:00:00Z,England,Argentina,betsson,2.78,2.95,3.05
2026-07-15T07:51:23+00:00,2026-07-15T19:00:00Z,England,Argentina,boylesports,2.62,2.88,2.9
2026-07-15T07:51:23+00:00,2026-07-15T19:00:00Z,England,Argentina,everygame,2.75,2.85,3.0
2026-07-15T07:51:23+00:00,2026-07-15T19:00:00Z,England,Argentina,coolbet,2.78,2.94,3.1
2026-07-15T07:51:23+00:00,2026-07-15T19:00:00Z,England,Argentina,codere_it,2.7,2.85,3.0
2026-07-15T07:51:23+00:00,2026-07-15T19:00:00Z,England,Argentina,betano_uk,2.7,2.8,3.0
2026-07-15T07:51:23+00:00,2026-07-15T19:00:00Z,England,Argentina,betanysports,2.7,2.85,3.0
2026-07-15T07:51:23+00:00,2026-07-15T19:00:00Z,England,Argentina,betus,2.75,2.9,3.05
2026-07-15T07:51:44+00:00,2026-07-15T19:00:00Z,England,Argentina,pinnacle,2.78,2.91,3.09
2026-07-15T07:51:44+00:00,2026-07-15T19:00:00Z,England,Argentina,livescorebet,2.65,2.8,2.95
2026-07-15T07:51:44+00:00,2026-07-15T19:00:00Z,England,Argentina,pmu_fr,2.65,2.95,2.95
2026-07-15T07:51:44+00:00,2026-07-15T19:00:00Z,England,Argentina,leovegas_se,2.7,2.88,3.0
2026-07-15T07:51:44+00:00,2026-07-15T19:00:00Z,England,Argentina,casumo,2.7,2.88,3.0
2026-07-15T07:51:44+00:00,2026-07-15T19:00:00Z,England,Argentina,betrivers,2.7,2.88,3.0
2026-07-15T07:51:44+00:00,2026-07-15T19:00:00Z,England,Argentina,unibet_se,2.75,2.95,3.1
2026-07-15T07:51:44+00:00,2026-07-15T19:00:00Z,England,Argentina,grosvenor,2.63,2.88,3.0
2026-07-15T07:51:44+00:00,2026-07-15T19:00:00Z,England,Argentina,virginbet,2.65,2.8,2.95
2026-07-15T07:51:44+00:00,2026-07-15T19:00:00Z,England,Argentina,unibet_nl,2.75,2.95,3.1
2026-07-15T07:51:44+00:00,2026-07-15T19:00:00Z,England,Argentina,marathonbet,2.73,2.86,3.0
2026-07-15T07:51:44+00:00,2026-07-15T19:00:00Z,England,Argentina,draftkings,2.75,2.85,3.0
2026-07-15T07:51:44+00:00,2026-07-15T19:00:00Z,England,Argentina,unibet_fr,2.7,3.0,3.0
2026-07-15T07:51:44+00:00,2026-07-15T19:00:00Z,England,Argentina,leovegas,2.7,2.85,2.95
2026-07-15T07:51:44+00:00,2026-07-15T19:00:00Z,England,Argentina,sport888,2.62,2.9,2.9
2026-07-15T07:51:44+00:00,2026-07-15T19:00:00Z,England,Argentina,betclic_fr,2.7,3.0,3.0
